id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1289013273686245377,1288949685890232320,2020-07-30 21:41:27 EDT,2020-07-30,21:41:27,-0400,432862262,nassarhuda,Huda Nassar,,@jessebett Thank you Jesse :).,en,['jessebett'],[],[],0,0,2,[],[],https://twitter.com/nassarhuda/status/1289013273686245377,,,0,,,,,,,,"{'user_id': '377099235', 'username': 'jessebett'}",,,,
1289012448293343232,1288935363134668800,2020-07-30 21:38:11 EDT,2020-07-30,21:38:11,-0400,432862262,nassarhuda,Huda Nassar,,@austinbenson Thanks Austin! :),en,['austinbenson'],[],[],0,0,2,[],[],https://twitter.com/nassarhuda/status/1289012448293343232,,,0,,,,,,,,"{'user_id': '33315710', 'username': 'austinbenson'}",,,,
1288935363134668800,1288935363134668800,2020-07-30 16:31:52 EDT,2020-07-30,16:31:52,-0400,432862262,nassarhuda,Huda Nassar,,"I'm grateful and honored to be part of the #julialang community, a community that has given me some of my favorite friendships and one of the strongest support systems I have. Thrilled to receive this award, and excited about the future of Julia. Congrats to Mosè &amp; Chris too! 🎉",en,[],[],[],10,11,155,['julialang'],[],https://twitter.com/nassarhuda/status/1288935363134668800,,https://twitter.com/Viral_B_Shah/status/1288853427414589440,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1288299462671048704,1288166652866105345,2020-07-28 22:25:02 EDT,2020-07-28,22:25:02,-0400,432862262,nassarhuda,Huda Nassar,,@StefanKarpinski @fairbanksjp @KenoFischer @nhdaly I was sad to miss it too! But looking forward to listening/watching it later :),en,"['stefankarpinski', 'fairbanksjp', 'kenofischer', 'nhdaly']",[],[],0,0,4,[],[],https://twitter.com/nassarhuda/status/1288299462671048704,,,0,,,,,,,,"{'user_id': '20333349', 'username': 'StefanKarpinski'}",,,,
1288285375132123136,1288285375132123136,2020-07-28 21:29:03 EDT,2020-07-28,21:29:03,-0400,432862262,nassarhuda,Huda Nassar,,"Want to know more about the new Pkg ecosystem “goodies” as @staticfloat puts it, coming out with #julialang v1.6, and all about how @fairbanksjp first got started with Julia and more about his work on Category Theory? Listen here👇and don’t miss their talks at #juliacon tomorrow.",en,"['staticfloat', 'fairbanksjp']",[],[],0,3,30,"['julialang', 'juliacon']",[],https://twitter.com/nassarhuda/status/1288285375132123136,,https://twitter.com/KenoFischer/status/1288166652866105345,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1288280270471221248,1288132437063737344,2020-07-28 21:08:46 EDT,2020-07-28,21:08:46,-0400,432862262,nassarhuda,Huda Nassar,,"@L_A_Scott_ @vchuravy Glad you enjoyed it, Louis.",en,"['l_a_scott_', 'vchuravy']",[],[],0,0,1,[],[],https://twitter.com/nassarhuda/status/1288280270471221248,,,0,,,,,,,,"{'user_id': '2446925047', 'username': 'L_A_Scott_'}",,,,
1288168390373208064,1288168390373208064,2020-07-28 13:44:11 EDT,2020-07-28,13:44:11,-0400,432862262,nassarhuda,Huda Nassar,,"Okay I said this, and it’s true. Applies to many things in #julialang.",en,[],[],[],1,0,19,['julialang'],[],https://twitter.com/nassarhuda/status/1288168390373208064,,https://twitter.com/vchuravy/status/1288132437063737344,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1287172990807846912,1287171707866816512,2020-07-25 19:48:50 EDT,2020-07-25,19:48:50,-0400,432862262,nassarhuda,Huda Nassar,,"And it’s been so much fun doing this with @KenoFischer and @nhdaly. Here’s the link to the channel: 
https://t.co/VXMh4ImmW3",en,"['kenofischer', 'nhdaly']",['https://www.youtube.com/channel/UCUDw1njmsMNnmphrQ13wFYw'],[],0,3,12,[],[],https://twitter.com/nassarhuda/status/1287172990807846912,,,0,,,,,,,,"{'user_id': '432862262', 'username': 'nassarhuda'}",,,,
1287171707866816512,1287171707866816512,2020-07-25 19:43:44 EDT,2020-07-25,19:43:44,-0400,432862262,nassarhuda,Huda Nassar,,"Kyle’s getting a firsthand “JuliaCon: The Podcast” behind-the-scenes experience. Just disappointed that he still uses Python 👀.

We just finished recording episode 2, and we had wonderful guests: @vchuravy @quinn_jacobd @DavidPSanders @ChrisRackauckas Episode drops in a few hrs.",en,"['vchuravy', 'quinn_jacobd', 'davidpsanders', 'chrisrackauckas']",[],[],1,1,27,[],[],https://twitter.com/nassarhuda/status/1287171707866816512,,https://twitter.com/kylekloster/status/1287163822243893248,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1287077160721645568,1286435314903453696,2020-07-25 13:28:02 EDT,2020-07-25,13:28:02,-0400,432862262,nassarhuda,Huda Nassar,,@aviksengupta Yeah that would be great :),en,['aviksengupta'],[],[],0,0,0,[],[],https://twitter.com/nassarhuda/status/1287077160721645568,,,0,,,,,,,,"{'user_id': '21602355', 'username': 'aviksengupta'}",,,,
